Column;URI
enterprise_value;enterpriseValue
market_cap_group;marketCapCategory 
sector;sector 
pe_forward;peForward 
exchange;exchange 
dividend_yield;dividendYield 
dividend_per_share;dps 
dividend_growth;dividendGrowth 
dividend_growth_years;dividendGrowthYears 
price_change_1w;ch1w 
price_change_1m;ch1m 
price_change_3m;ch3m 
price_change_6m;ch6m 
price_change_ytd;chYTD 
price_change_1y;ch1y 
price_change_3y;ch3y 
price_change_5y;ch5y 
price_change_10y;ch10y 
price_change_15y;ch15y 
price_change_20y;ch20y 
price_change_52w_low;low52ch 
price_change_52w_high;high52ch 
all_time_high;allTimeHigh 
all_time_high_change_percentage;allTimeHighChange 
all_time_low;allTimeLow 
all_time_low_change_percentage;allTimeLowChange 
analyst_rating;analystRatings 
analyst_count;analystCount 
price_target;priceTarget 
price_target_diff_percentage;priceTargetChange 
open_price;open 
low_price;low 
high_price;high 
previous_close;close 
premarket_price;premarketPrice 
premarket_change_percentage;premarketChangePercent 
after_hours_price;postmarketPrice 
after_hours_change_percentage;postmarketChangePercent 
52w_low;low52 
52w_high;high52 
country;country 
employees;employees 
employees_change;employeesChange 
employees_change_percentage;employeesChangePercent 
founded;founded 
ipo_date;ipoDate 
financial_report_date;lastReportDate 
fiscal_year_end;fiscalYearEnd 
last_10k_filing_date;last10kFilingDate 
revenue;revenue 
revenue_growth_percentage;revenueGrowth 
revenue_growth_percentage_q;revenueGrowthQ 
revenue_growth_percentage_3y;revenueGrowth3Y 
revenue_growth_percentage_5y;revenueGrowth5Y 
gross_profit;grossProfit 
gross_profit_growth_percentage;grossProfitGrowth 
gross_profit_growth_percentage_q;grossProfitGrowthQ 
gross_profit_growth_percentage_3y;grossProfitGrowth3Y 
gross_profit_growth_percentage_5y;grossProfitGrowth5Y 
operating_income;operatingIncome 
operating_income_growth_percentage;operatingIncomeGrowth 
operating_income_growth_percentage_q;operatingIncomeGrowthQ 
operating_income_growth_percentage_3y;operatingIncomeGrowth3Y 
operating_income_growth_percentage_5y;operatingIncomeGrowth5Y 
net_income;netIncome 
net_income_growth_percentage;netIncomeGrowth 
net_income_growth_percentage_q;netIncomeGrowthQ 
net_income_growth_percentage_3y;netIncomeGrowth3Y 
net_income_growth_percentage_5y;netIncomeGrowth5Y 
income_tax;incomeTax 
earnings_per_share;eps 
eps_growth_percentage;epsGrowth 
eps_growth_percentage_q;epsGrowthQ 
eps_growth_percentage_3y;epsGrowth3Y 
eps_growth_percentage_5y;epsGrowth5Y 
ebit;ebit 
ebitda;ebitda 
operating_cash_flow;operatingCF 
stock_based_compensation;shareBasedComp 
sbc_by_revenue;sbcByRevenue 
investing_cash_flow;investingCF 
financing_cash_flow;financingCF 
net_cash_flow;netCF 
capital_expenditures;capex 
free_cash_flow;fcf 
adjusted_free_cash_flow;adjustedFCF 
free_cash_flow_per_share;fcfPerShare 
free_cash_flow_growth_percentage;fcfGrowth 
free_cash_flow_growth_percentage_q;fcfGrowthQ 
free_cash_flow_growth_percentage_3y;fcfGrowth3Y 
free_cash_flow_growth_percentage_5y;fcfGrowth5Y 
total_cash;cash 
total_debt;debt 
debt_growth_percentage_yoy;debtGrowth 
debt_growth_percentage_qoq;debtGrowthQoQ 
debt_growth_percentage_3y;debtGrowth3Y 
debt_growth_percentage_5y;debtGrowth5Y 
net_cash;netCash 
net_cash_growth_percentage;netCashGrowth 
net_cash_by_market_cap;netCashByMarketCap 
assets;assets 
liabilities;liabilities 
gross_margin;grossMargin 
operating_margin;operatingMargin 
profit_margin;profitMargin 
free_cash_flow_margin;fcfMargin 
ebitda_margin;ebitdaMargin 
ebit_margin;ebitMargin 
research_and_development;researchAndDevelopment 
rnd_by_revenue;rndByRevenue 
ps_ratio;psRatio 
forward_ps;psForward 
pb_ratio;pbRatio 
p_by_free_cash_flow_ratio;pFcfRatio 
peg_ratio;pegRatio 
ev_sales;evSales
ev_sales_forward;evSalesForward 
ev_earnings;evEarnings 
ev_ebitda;evEbitda 
ev_ebit;evEbit 
ev_fcf;evFcf 
earnings_yield;earningsYield 
free_cash_flow_yield;fcfYield 
payout_ratio;payoutRatio 
payout_frequency;payoutFrequency 
buyback_yield;buybackYield 
shareholder_yield;totalReturn 
average_volume;averageVolume 
relative_volume;relativeVolume 
beta_1y;beta 
relative_strength_index;rsi 
short_float;shortFloat 
short_shares;shortShares 
short_ratio;shortRatio
